,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Distintivo ambiental,Meses
133,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,27500.0,2019-01-01,Eléctrico,8687.0,Berlina,Automático,150.0,36.0,0 EMISIONES,16
134,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,11900.0,2018-03-01,Gasolina,28457.0,Berlina,Manual,115.0,12.0,C,26
135,NISSAN Murano 3.5 V6 Aut.,NISSAN,Murano,,4x2,7900.0,2007-07-01,Gasolina,128000.0,Todo Terreno,Automático,234.0,12.0,C,154
136,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,27900.0,2018-12-01,Eléctrico,9000.0,Berlina,Automático,150.0,36.0,0 EMISIONES,17
137,NISSAN X-Trail 1.3 DIG-T Tekna 4x2 DCT,NISSAN,X-Trail,Tekna,4x2,27900.0,2019-11-01,Gasolina,10.0,Todo Terreno,Automático,160.0,31.0,C,6
138,NISSAN Qashqai 1.6 DCI TEKNA+ 130 5P,NISSAN,Qashqai,Tekna,4x2,22900.0,2018-09-01,Diesel,25500.0,Berlina mediana o grande,Manual,130.0,0.0,C,20
139,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 117kW,NISSAN,Qashqai,N-Connecta,4x2,21100.0,2019-09-01,Gasolina,1.0,Todo Terreno,Manual,160.0,36.0,C,8
140,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-07-01,Gasolina,14900.0,Berlina mediana o grande,Manual,140.0,0.0,C,10
141,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 117kW,NISSAN,Qashqai,N-Connecta,4x2,18980.0,2019-07-01,Gasolina,28000.0,Todo Terreno,Manual,160.0,12.0,C,10
142,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,13200.0,2018-12-01,Gasolina,18355.0,Berlina,Manual,100.0,12.0,C,17
143,NISSAN Qashqai 1.6dCi Tekna+ 4x2,NISSAN,Qashqai,Tekna,4x2,22900.0,2017-10-01,Diesel,36201.0,Todo Terreno,Manual,130.0,12.0,C,31
144,NISSAN Qashqai 1.6 DCI TEKNA+ AUTO 130 5P,NISSAN,Qashqai,Tekna,4x2,23900.0,2018-09-01,Diesel,10500.0,Berlina mediana o grande,Automático,130.0,0.0,C,20
145,NISSAN Micra 1.2 N-Tec,NISSAN,Micra,,4x2,6900.0,2016-09-01,Gasolina,97000.0,Berlina,Manual,80.0,12.0,C,44
146,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,6500.0,2017-06-01,Gasolina,45000.0,Berlina,Manual,80.0,12.0,C,35
147,NISSAN Qashqai 1.3 DIG-T TEKNA 103KW 140 5P,NISSAN,Qashqai,Tekna,4x2,22900.0,2019-02-01,Gasolina,20500.0,Berlina mediana o grande,Manual,140.0,0.0,C,15
148,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,11800.0,2020-01-01,Gasolina,5.0,Berlina,Manual,100.0,36.0,C,4
149,NISSAN Qashqai 1.3 DIG-T ACENTA 103KW 140 5P,NISSAN,Qashqai,Acenta,4x2,20500.0,2019-11-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,C,6
150,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,14000.0,2015-01-01,Diesel,74800.0,Todo Terreno,Manual,110.0,12.0,C,64
151,NISSAN Qashqai ACENTA 1.5 DCI 110 CV 5P,NISSAN,Qashqai,Acenta,4x2,12500.0,2016-10-01,Diesel,78001.0,"4x4, SUV o pickup",Manual,110.0,12.0,C,43
152,NISSAN Qashqai 1.5dCi 360 4x2,NISSAN,Qashqai,,4x2,9490.0,2013-01-01,Diesel,94000.0,Todo Terreno,Manual,110.0,12.0,B,88
153,NISSAN X-Trail 1.6 DIG-T Tekna 4x2,NISSAN,X-Trail,Tekna,4x2,24300.0,2018-06-01,Gasolina,11237.0,Todo Terreno,Manual,163.0,12.0,C,23
154,NISSAN Qashqai 1.6 DCI TEKNA+ 130 5P,NISSAN,Qashqai,Tekna,4x2,22900.0,2018-09-01,Diesel,12500.0,Berlina mediana o grande,Manual,130.0,18.0,C,20
155,NISSAN X-Trail 2.0dCi XE,NISSAN,X-Trail,,4x2,9900.0,2012-02-01,Diesel,171000.0,Todo Terreno,Manual,150.0,12.0,B,99
156,NISSAN Qashqai 1.3 DIG-T Q-Line 4x2 103kW,NISSAN,Qashqai,,4x2,21900.0,2019-10-01,Gasolina,8.0,Todo Terreno,Manual,140.0,36.0,C,7
157,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,14200.0,2018-04-01,Gasolina,22208.0,Todo Terreno,Manual,115.0,12.0,C,25
158,NISSAN X-Trail 1.6 dCi 360 4x4-i,NISSAN,X-Trail,,4x4,13400.0,2015-01-01,Diesel,94000.0,Todo Terreno,Manual,130.0,0.0,C,64
159,NISSAN Qashqai 2.0 Tekna 4x4,NISSAN,Qashqai,Tekna,4x4,6750.0,2008-01-01,Gasolina,217000.0,Todo Terreno,Manual,140.0,0.0,C,148
160,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,22600.0,2018-07-01,Diesel,18051.0,Todo Terreno,Manual,130.0,36.0,C,22
161,NISSAN Patrol GR Elegance,NISSAN,,,4x2,9900.0,2000-06-01,Diesel,129000.0,Todo Terreno,Manual,158.0,12.0,,239
162,NISSAN X-Trail 1.6 dCi Acenta 4x2,NISSAN,X-Trail,Acenta,4x2,18490.0,2015-04-01,Diesel,48000.0,Todo Terreno,Manual,130.0,12.0,C,61
163,NISSAN Qashqai 1.3 DIG-T N-STYLE 5P,NISSAN,Qashqai,,4x2,18900.0,2019-02-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,12.0,C,15
164,NISSAN Qashqai 1.2 DIG-T Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,10475.0,2014-11-01,Gasolina,99000.0,Todo Terreno,Manual,115.0,12.0,C,66
165,NISSAN Qashqai 1.6dCi Visia 4x2,NISSAN,Qashqai,Visia,4x2,13990.0,2015-06-01,Diesel,113956.0,Todo Terreno,Manual,130.0,12.0,C,59
166,NISSAN X-Trail 1.6 dCi Acenta 4x4-i,NISSAN,X-Trail,Acenta,4x4,18900.0,2016-04-01,Diesel,67000.0,Todo Terreno,Manual,130.0,12.0,C,49
167,NISSAN X-Trail 2.0 DCI TEKNA 7 SEAT 4WD XTRONIC CVT 5P 7 PLAZAS-,NISSAN,X-Trail,Tekna,4x2,30500.0,2018-07-01,Diesel,18329.0,"4x4, SUV o pickup",Automático,177.0,12.0,C,22
168,NISSAN Juke 1.6i Tekna Sport,NISSAN,Juke,Tekna,4x2,9490.0,2014-05-01,Gasolina,44200.0,Todo Terreno,Manual,117.0,12.0,C,72
169,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,21900.0,2018-11-01,Diesel,12700.0,Todo Terreno,Manual,115.0,24.0,C,18
170,NISSAN Juke 1.6 N-Connecta 4x2 XTronic 117,NISSAN,Juke,N-Connecta,4x2,10100.0,2018-01-01,Gasolina,97000.0,Todo Terreno,Automático,117.0,24.0,C,28
171,NISSAN Qashqai Todoterreno 130cv Manual de 5 Puertas,NISSAN,Qashqai,,4x2,14900.0,2013-03-01,Diesel,113097.0,"4x4, SUV o pickup",Manual,130.0,12.0,B,86
172,NISSAN Qashqai 1.5dCi N-Vision 4x2,NISSAN,Qashqai,,4x2,14900.0,2016-03-01,Diesel,82000.0,Todo Terreno,Manual,110.0,12.0,C,50
173,NISSAN Juke 1.2 DIG-T Acenta 4x2 115,NISSAN,Juke,Acenta,4x2,10950.0,2018-04-01,Gasolina,32095.0,Todo Terreno,Manual,115.0,13.0,C,25
174,NISSAN Juke 1.5dCi N-Connecta 4x2,NISSAN,Juke,N-Connecta,4x2,11500.0,2015-09-01,Diesel,21768.0,Todo Terreno,Manual,110.0,12.0,C,56
175,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,16690.0,2017-12-01,Gasolina,14653.0,Todo Terreno,Manual,115.0,12.0,C,29
176,NISSAN Juke 1.6 DIG-T Tekna Sport,NISSAN,Juke,Tekna,4x2,9700.0,2011-07-01,Gasolina,185000.0,Todo Terreno,Manual,190.0,12.0,C,106
177,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,23000.0,2019-11-01,Gasolina,2939.0,Todo Terreno,Manual,140.0,36.0,C,6
178,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,15990.0,2015-09-01,Diesel,67800.0,Todo Terreno,Manual,130.0,12.0,C,56
179,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,20250.0,2018-01-01,Diesel,13987.0,Todo Terreno,Manual,130.0,36.0,C,28
180,NISSAN Qashqai  dCi 85 kW (115 CV) E6D TEKNA,NISSAN,Qashqai,Tekna,4x2,21490.0,2019-03-01,Diesel,20100.0,Berlina mediana o grande,Manual,115.0,22.0,C,14
181,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,12500.0,2018-03-01,Gasolina,26178.0,Todo Terreno,Manual,115.0,12.0,C,26
182,NISSAN Qashqai 1.6dCi Tekna 4x4-i,NISSAN,Qashqai,Tekna,4x4,12500.0,2016-09-01,Diesel,119000.0,Todo Terreno,Manual,130.0,12.0,C,44
183,NISSAN Juke 1.6i Tekna Sport,NISSAN,Juke,Tekna,4x2,7600.0,2011-07-01,Gasolina,139000.0,Todo Terreno,Manual,117.0,12.0,C,106
184,NISSAN Qashqai Q+2 1.6 Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,8500.0,2008-01-01,Gasolina,148370.0,Todo Terreno,Manual,115.0,12.0,C,148
185,NISSAN Qashqai 1.3 DIG-T 103KW N-MOTION 5P-,NISSAN,Qashqai,,4x2,21900.0,2019-05-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,12.0,C,12
186,NISSAN Qashqai 1.6dCi Tekna 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,26490.0,2019-06-01,Diesel,6900.0,Todo Terreno,Automático,130.0,25.0,C,11
187,NISSAN Leaf Tekna 30KWh,NISSAN,Leaf,Tekna,4x2,18900.0,2017-01-01,Eléctrico,29570.0,Berlina,Automático,109.0,24.0,0 EMISIONES,40
188,NISSAN X-Trail 1.6 dCi N-Connecta 4x2 XTronic,NISSAN,X-Trail,N-Connecta,4x2,16995.0,2017-12-01,Diesel,54500.0,Todo Terreno,Automático,130.0,12.0,C,29
189,NISSAN Pathfinder 2.5dCi LE,NISSAN,Pathfinder,,4x2,8900.0,2006-03-01,Diesel,191300.0,Todo Terreno,Manual,174.0,0.0,B,170
190,NISSAN Pathfinder 2.5dCi FE 7(FLOTAS),NISSAN,Pathfinder,,4x2,11000.0,2006-07-01,Diesel,219000.0,Todo Terreno,Manual,174.0,6.0,B,166
191,NISSAN Murano 3.5 V6 Aut.,NISSAN,Murano,,4x2,7800.0,2007-01-01,Gasolina,140000.0,Todo Terreno,Automático,234.0,0.0,C,160
192,NISSAN X-Trail 1.6 dCi Tekna 4x2,NISSAN,X-Trail,Tekna,4x2,23900.0,2018-07-01,Diesel,12000.0,Todo Terreno,Manual,130.0,36.0,C,22
193,NISSAN Micra 1.2 DIG-S N-Tec,NISSAN,Micra,,4x2,6800.0,2017-01-01,Gasolina,59000.0,Berlina,Manual,98.0,12.0,C,40
194,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20500.0,2019-06-01,Gasolina,4499.0,Berlina mediana o grande,Manual,140.0,36.0,C,11
195,NISSAN Qashqai 1.6dCi Visia 4x2 XTronic,NISSAN,Qashqai,Visia,4x2,16500.0,2017-01-01,Diesel,88813.0,Todo Terreno,Automático,130.0,12.0,C,40
196,NISSAN X-Trail 1.7 dCi Tekna 4x4-i,NISSAN,X-Trail,Tekna,4x4,27750.0,2019-04-01,Diesel,19017.0,Todo Terreno,Manual,150.0,22.0,C,13
197,NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,NISSAN,Qashqai,Acenta,4x2,16595.0,2018-03-01,Diesel,18280.0,Todo Terreno,Manual,115.0,12.0,C,26
198,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,18995.0,2019-06-01,Gasolina,24904.0,Todo Terreno,Manual,140.0,12.0,C,11
199,NISSAN Micra IG-T N-Connecta 100,NISSAN,Micra,N-Connecta,4x2,11700.0,2018-12-01,Gasolina,16100.0,Berlina,Manual,100.0,12.0,C,17
200,NISSAN Leaf Acenta 30KWh,NISSAN,Leaf,Acenta,4x2,16900.0,2017-07-01,Eléctrico,15000.0,-,Automático,0.0,12.0,0 EMISIONES,34
201,NISSAN Terrano II 2.7 TDI 125 CV,NISSAN,,,4x2,6900.0,1999-09-01,Diesel,237930.0,Berlina mediana o grande,,0.0,12.0,,248
202,NISSAN Qashqai 1.6dCi S&S Visia 4x4,NISSAN,Qashqai,Visia,4x4,12500.0,2015-04-01,Diesel,130000.0,Todo Terreno,Manual,130.0,12.0,C,61
203,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,14000.0,2016-09-01,Diesel,99000.0,Todo Terreno,Manual,130.0,12.0,C,44
204,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,7700.0,2017-04-01,Gasolina,32946.0,Berlina,Manual,80.0,12.0,C,37
205,NISSAN Qashqai  dCi 85 kW (115 CV) E6D TEKNA,NISSAN,Qashqai,Tekna,4x2,21490.0,2019-03-01,Diesel,24779.0,Berlina mediana o grande,Manual,115.0,22.0,C,14
206,NISSAN X-Trail 1.6 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,18950.0,2015-10-01,Diesel,59000.0,Todo Terreno,Automático,130.0,0.0,C,55
207,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,12700.0,2015-11-01,Diesel,68300.0,Todo Terreno,Manual,110.0,12.0,C,54
208,NISSAN Juke Gasolina de 5 Puertas,NISSAN,Juke,,4x2,15200.0,2019-02-01,Gasolina,8164.0,"4x4, SUV o pickup",Manual,130.0,24.0,C,15
209,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17400.0,2018-05-01,Gasolina,23186.0,Todo Terreno,Manual,115.0,12.0,C,24
210,NISSAN X-Trail 1.6 dCi 360 4x2,NISSAN,X-Trail,,4x2,12975.0,2015-07-01,Diesel,143000.0,Todo Terreno,Manual,130.0,12.0,C,58
211,NISSAN Qashqai 1.6dCi Black Edition 4x2,NISSAN,Qashqai,,4x2,12900.0,2016-09-01,Diesel,108000.0,Todo Terreno,Manual,130.0,12.0,C,44
212,NISSAN Qashqai 1.6dCi Tekna 4x2,NISSAN,Qashqai,Tekna,4x2,14990.0,2016-06-01,Diesel,72000.0,Todo Terreno,Manual,130.0,12.0,C,47
213,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17400.0,2018-06-01,Gasolina,26031.0,Todo Terreno,Manual,115.0,12.0,C,23
214,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,28490.0,2019-04-01,Eléctrico,4861.0,Berlina,Automático,150.0,23.0,0 EMISIONES,13
215,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18400.0,2017-08-01,Diesel,14404.0,Todo Terreno,Manual,130.0,12.0,C,33
216,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,13900.0,2017-02-01,Diesel,36626.0,Todo Terreno,Manual,110.0,12.0,C,39
217,NISSAN Juke 1.6 N-Connecta 4x2 112,NISSAN,Juke,N-Connecta,4x2,14300.0,2019-04-01,Gasolina,5917.0,Todo Terreno,Manual,112.0,12.0,C,13
218,NISSAN Qashqai  dCi 85 kW (115 CV) E6D N-CONNECTA + LED,NISSAN,Qashqai,N-Connecta,4x2,20990.0,2019-05-01,Diesel,10000.0,Berlina mediana o grande,Manual,115.0,24.0,C,12
219,NISSAN Qashqai 1.3DIG-T 140CV 2WD MT EURO6D ACENTA BARRAS+LLANTAS 18,NISSAN,Qashqai,Acenta,4x2,19900.0,2019-09-01,Gasolina,1.0,Berlina mediana o grande,Manual,140.0,12.0,C,8
220,NISSAN Juke 1.6i Tekna Premium Piel 18´´,NISSAN,Juke,Tekna,4x2,10800.0,2014-01-01,Gasolina,40500.0,Todo Terreno,Manual,117.0,12.0,C,76
221,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18500.0,2018-06-01,Gasolina,16000.0,Todo Terreno,Manual,115.0,12.0,C,23
222,NISSAN Leaf 40 kWh Acenta,NISSAN,Leaf,Acenta,4x2,21990.0,2018-12-01,Eléctrico,12677.0,Berlina,Automático,150.0,19.0,0 EMISIONES,17
223,NISSAN X-Trail 2.0 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,26000.0,2018-07-01,Diesel,16291.0,Todo Terreno,Automático,177.0,12.0,C,22
224,NISSAN Terrano 2.7 TD Sport,NISSAN,,,4x2,3995.0,1999-06-01,Diesel,174000.0,Todo Terreno,Manual,100.0,0.0,,251
225,NISSAN X-Trail 1.3 DIG-T N-Connecta 4x2 DCT,NISSAN,X-Trail,N-Connecta,4x2,25500.0,2020-01-01,Gasolina,10.0,Todo Terreno,Automático,160.0,12.0,C,4
226,NISSAN X-Trail 1.6 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,22400.0,2015-01-01,Diesel,95000.0,Todo Terreno,Automático,130.0,12.0,C,64
227,NISSAN Juke 1.6 N-Connecta 4x2 112,NISSAN,Juke,N-Connecta,4x2,14900.0,2019-04-01,Gasolina,7105.0,Todo Terreno,Manual,112.0,24.0,C,13
228,NISSAN Terrano 2.7TDI Comfort Plus,NISSAN,,,4x2,9900.0,2005-02-01,Diesel,89000.0,Todo Terreno,Manual,125.0,12.0,,183
229,NISSAN Qashqai Q+2 1.6dCi Tekna Premium 4x4 17´´,NISSAN,Qashqai,Tekna,4x4,10000.0,2012-01-01,Diesel,155000.0,Todo Terreno,Manual,130.0,0.0,B,100
230,NISSAN X-Trail 2.0 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,20900.0,2016-10-01,Diesel,53650.0,Todo Terreno,Automático,177.0,12.0,C,43
231,NISSAN Qashqai 2.0dCi Tekna Sport 4x2 18´´,NISSAN,Qashqai,Tekna,4x2,7990.0,2010-01-01,Diesel,211000.0,Todo Terreno,Manual,150.0,0.0,B,124
232,NISSAN Terrano 2.7TDI Comfort Plus,NISSAN,,,4x2,5990.0,2004-06-01,Diesel,309723.0,Todo Terreno,Manual,125.0,0.0,,191
233,NISSAN Note 1.5dCi Acenta,NISSAN,Note,Acenta,4x2,8990.0,2016-01-01,Diesel,59557.0,Monovolumen,Manual,90.0,12.0,C,52
234,NISSAN Qashqai 1.6dCi S&S 360 4x2,NISSAN,Qashqai,,4x2,14300.0,2015-10-01,Diesel,92156.0,Todo Terreno,Manual,130.0,12.0,C,55
235,NISSAN Qashqai 1.7 DCI TEKNA+ 110KW 150 5P,NISSAN,Qashqai,Tekna,4x2,27900.0,2019-11-01,Diesel,10.0,Berlina mediana o grande,Manual,150.0,0.0,C,6
236,NISSAN Qashqai 1.5 DCI N-MOTION 115 5P,NISSAN,Qashqai,,4x2,21900.0,2019-10-01,Diesel,8500.0,Berlina mediana o grande,Manual,115.0,0.0,C,7
237,NISSAN Juke 1.6 N-Connecta 4x2 112,NISSAN,Juke,N-Connecta,4x2,14750.0,2019-03-01,Gasolina,10367.0,Todo Terreno,Manual,112.0,24.0,C,14
238,NISSAN Qashqai 1.3 DIG-T TEKNA+ 103KW 140 5P,NISSAN,Qashqai,Tekna,4x2,23900.0,2019-02-01,Gasolina,8000.0,Berlina mediana o grande,Manual,140.0,0.0,C,15
239,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,19110.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
240,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 DCT 117kW,NISSAN,Qashqai,N-Connecta,4x2,21800.0,2019-02-01,Gasolina,45426.0,Todo Terreno,Automático,160.0,12.0,C,15
241,NISSAN Qashqai 1.5 DCI N-CONNECTA 85KW 115 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-01-01,Diesel,16500.0,Berlina mediana o grande,Manual,115.0,0.0,C,16
242,NISSAN Qashqai 1.7 DCI TEKNA 110KW 150 5P,NISSAN,Qashqai,Tekna,4x2,25500.0,2019-07-01,Diesel,250.0,Berlina mediana o grande,Manual,150.0,0.0,C,10
243,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,13300.0,2018-06-01,Gasolina,28864.0,Berlina,Manual,115.0,24.0,C,23
244,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14610.0,2017-02-01,Diesel,59681.0,Todo Terreno,Manual,110.0,12.0,C,39
245,NISSAN Micra 0.9 IG-T VISIA+ 90 5P,NISSAN,Micra,Visia,4x2,9600.0,2018-03-01,Gasolina,38436.0,Berlina mediana o grande,Manual,90.0,24.0,C,26
246,NISSAN Juke 1.6i Acenta,NISSAN,Juke,Acenta,4x2,8800.0,2010-01-01,Gasolina,100366.0,Todo Terreno,Manual,117.0,12.0,C,124
247,NISSAN Qashqai 1.5 DCI N-CONNECTA 85KW 115 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-05-01,Diesel,15200.0,Berlina mediana o grande,Manual,115.0,0.0,C,12
248,NISSAN Qashqai 1.5 DCI N-CONNECTA 85KW 115 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-02-01,Diesel,32500.0,Berlina mediana o grande,Manual,115.0,0.0,C,15
249,NISSAN Qashqai 1.3 DIG-T TEKNA+ 103KW 140 5P,NISSAN,Qashqai,Tekna,4x2,24900.0,2019-02-01,Gasolina,6000.0,Berlina mediana o grande,Manual,140.0,0.0,C,15
250,NISSAN 370Z  Pack *NAVEGADOR *BIXENON *CRUISE,NISSAN,,,4x2,23900.0,2011-03-01,Gasolina,108900.0,Deportivo o coupé,Manual,330.0,12.0,C,110
251,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18400.0,2018-07-01,Gasolina,17183.0,Todo Terreno,Manual,115.0,24.0,C,22
252,NISSAN Juke 1.6 N-Connecta 4x2 112,NISSAN,Juke,N-Connecta,4x2,14600.0,2018-09-01,Gasolina,13104.0,Todo Terreno,Manual,112.0,24.0,C,20
253,NISSAN Qashqai 1.5 DCI N-CONNECTA 85KW 115 5P,NISSAN,Qashqai,N-Connecta,4x2,19900.0,2019-03-01,Diesel,15000.0,Berlina mediana o grande,Manual,115.0,0.0,C,14
254,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,17900.0,2018-01-01,Diesel,10419.0,Todo Terreno,Manual,110.0,12.0,C,28
255,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11680.0,2017-01-01,Gasolina,22300.0,Todo Terreno,Manual,115.0,12.0,C,40
256,NISSAN X-Trail 1.6 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,25900.0,2018-09-01,Diesel,23400.0,Todo Terreno,Automático,130.0,0.0,C,20
257,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-06-01,Gasolina,11500.0,Berlina mediana o grande,Manual,140.0,0.0,C,11
258,NISSAN Qashqai 1.6dCi Tekna 4x4-i,NISSAN,Qashqai,Tekna,4x4,14950.0,2016-11-01,Diesel,75900.0,Todo Terreno,Manual,130.0,24.0,C,42
259,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,21500.0,2019-12-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,C,5
260,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,15300.0,2017-08-01,Diesel,71742.0,Todo Terreno,Manual,130.0,12.0,C,33
261,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-06-01,Gasolina,11500.0,Berlina mediana o grande,Manual,140.0,0.0,C,11
262,NISSAN Qashqai 1.5dCi Tekna Premium 4x2,NISSAN,Qashqai,Tekna,4x2,15900.0,2015-01-01,Diesel,65500.0,Todo Terreno,Manual,110.0,12.0,C,64
263,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,10530.0,2017-08-01,Diesel,43152.0,Todo Terreno,Manual,110.0,12.0,C,33
264,NISSAN Qashqai 1.5 DCI ACENTA 85KW 115 5P,NISSAN,Qashqai,Acenta,4x2,19900.0,2019-10-01,Diesel,550.0,Berlina mediana o grande,Manual,115.0,0.0,C,7
265,NISSAN Qashqai  1.3 DIG-T Acenta N-STYLE,NISSAN,Qashqai,Acenta,4x2,16810.0,2019-06-01,Gasolina,9487.0,Berlina mediana o grande,Manual,140.0,24.0,C,11
266,NISSAN X-Trail 2.0 dCi Tekna 4x2 XTronic,NISSAN,X-Trail,Tekna,4x2,19900.0,2016-09-01,Diesel,53000.0,Todo Terreno,Automático,177.0,12.0,C,44
267,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14160.0,2017-03-01,Diesel,57705.0,Todo Terreno,Manual,110.0,12.0,C,38
268,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,18310.0,2019-05-01,Diesel,14086.0,Todo Terreno,Manual,115.0,24.0,C,12
269,NISSAN Qashqai 1.3 DIG-T ACENTA 103KW 140 5P,NISSAN,Qashqai,Acenta,4x2,20900.0,2019-12-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,C,5
270,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,18410.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
271,NISSAN Leaf Tekna 30KWh,NISSAN,Leaf,Tekna,4x2,14160.0,2016-09-01,Eléctrico,67232.0,Berlina,Automático,109.0,12.0,0 EMISIONES,44
272,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,18990.0,2020-02-01,Gasolina,10.0,Todo Terreno,Manual,140.0,36.0,C,3
273,NISSAN Qashqai 1.3 DIG-T TEKNA+ 103KW 140 5P,NISSAN,Qashqai,Tekna,4x2,23900.0,2019-02-01,Gasolina,8000.0,Berlina mediana o grande,Manual,140.0,0.0,C,15
