,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Distintivo ambiental,Meses
30,NISSAN Leaf  109 CV ZERO,NISSAN,Leaf,,4x2,11120.0,2012-06-01,Eléctrico,52025.0,Berlina mediana o grande,Automático,109.0,12.0,0 EMISIONES,95
31,NISSAN Micra 1.2 Naru Edition,NISSAN,Micra,,4x2,6200.0,2017-02-01,Gasolina,73064.0,Berlina,Manual,80.0,24.0,C,39
32,NISSAN Qashqai  1.3 DIG-T Acenta N-STYLE,NISSAN,Qashqai,Acenta,4x2,16810.0,2019-06-01,Gasolina,13200.0,Berlina mediana o grande,Manual,140.0,24.0,C,11
33,NISSAN Micra 1.0 DIG-T ACENTA 86KW 117 5P,NISSAN,Micra,Acenta,4x2,13500.0,2019-11-01,Gasolina,10.0,Berlina mediana o grande,Manual,117.0,0.0,C,6
34,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
35,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,6200.0,2017-03-01,Gasolina,50250.0,Berlina,Manual,80.0,12.0,C,38
36,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,15660.0,2018-03-01,Diesel,79201.0,Todo Terreno,Manual,110.0,36.0,C,26
37,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,10000.0,Todo Terreno,Manual,140.0,24.0,C,11
38,NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,NISSAN,Qashqai,N-Connecta,4x2,19110.0,2019-06-01,Gasolina,7257.0,Todo Terreno,Manual,140.0,24.0,C,11
39,NISSAN Micra 1.2 N-Tec,NISSAN,Micra,,4x2,6200.0,2016-12-01,Gasolina,35414.0,Berlina,Manual,80.0,12.0,C,41
40,NISSAN Micra 1.5dCi S&S Acenta 90,NISSAN,Micra,Acenta,4x2,12990.0,2019-11-01,Diesel,5000.0,Berlina,Manual,90.0,36.0,C,6
41,NISSAN Qashqai 1.3 DIG-T Acenta 4x2 103kW,NISSAN,Qashqai,Acenta,4x2,16370.0,2019-06-01,Gasolina,7728.0,Todo Terreno,Manual,140.0,24.0,C,11
42,NISSAN Qashqai 1.6 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,19020.0,2019-06-01,Gasolina,15370.0,Todo Terreno,Manual,163.0,24.0,C,11
43,NISSAN Qashqai 1.2 DIG-T Tekna 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,15300.0,2017-03-01,Gasolina,68223.0,Todo Terreno,Automático,115.0,12.0,C,38
44,NISSAN X-Trail 1.6 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,15920.0,2017-03-01,Diesel,59935.0,Todo Terreno,Manual,130.0,12.0,C,38
45,NISSAN Juke 1.5dCi Visia 4x2,NISSAN,Juke,Visia,4x2,8850.0,2016-01-01,Diesel,77573.0,Todo Terreno,Manual,110.0,12.0,C,52
46,NISSAN Murano 2.5dCi Tekna Premium Aut.,NISSAN,Murano,Tekna,4x2,12850.0,2012-05-01,Diesel,220000.0,Todo Terreno,Automático,190.0,12.0,B,96
47,NISSAN Qashqai 1.5dCi N-Connecta DCT 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,22400.0,2019-04-01,Diesel,105.0,Todo Terreno,Automático,115.0,24.0,C,13
48,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,13280.0,2016-11-01,Diesel,87688.0,Todo Terreno,Manual,110.0,12.0,C,42
49,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11410.0,2017-11-01,Gasolina,44339.0,Todo Terreno,Manual,115.0,12.0,C,30
50,NISSAN Qashqai 1.2 DIG-T N-CONNECTA 115 5P,NISSAN,Qashqai,N-Connecta,4x2,15750.0,2018-06-01,Gasolina,24150.0,Berlina mediana o grande,Manual,115.0,0.0,C,23
51,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11060.0,2016-11-01,Gasolina,40469.0,Todo Terreno,Manual,115.0,12.0,C,42
52,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14420.0,2017-03-01,Gasolina,74523.0,Todo Terreno,Manual,115.0,12.0,C,38
53,NISSAN Qashqai 1.3 DIG-T Q-Line 4x2 103kW,NISSAN,Qashqai,,4x2,21290.0,2020-01-01,Gasolina,10.0,Todo Terreno,Manual,140.0,36.0,C,4
