,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
485,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,12490.0,2017-04-01,Diesel,88210.0,Todo Terreno,Manual,110.0,12.0,Negro,C,37
486,NISSAN Juke 1.5dCi Acenta 4x2,NISSAN,Juke,Acenta,4x2,12850.0,2014-07-01,Diesel,59000.0,Todo Terreno,Manual,110.0,12.0,Blanco,C,70
487,NISSAN Pathfinder 2.5dCi XE 5pl.,NISSAN,,,4x2,8900.0,2006-08-01,Diesel,227700.0,Todo Terreno,Manual,174.0,6.0,Blanco,B,165
488,NISSAN X-Trail 1.7 DCI TEKNA 110KW 150 5P,NISSAN,X-Trail,Tekna,4x2,28900.0,2019-11-01,Diesel,10.0,"4x4, SUV o pickup",Manual,150.0,0.0,Negro Diamante Metalizado,C,6
489,NISSAN Pulsar 1.2 DIG-T Tekna XTronic,NISSAN,Pulsar,Tekna,4x2,12500.0,2016-01-01,Gasolina,55107.0,Berlina,Automático,115.0,12.0,Gris,C,52
490,NISSAN Qashqai 1.3 DIG-T ACENTA 103KW 140 5P,NISSAN,Qashqai,Acenta,4x2,19900.0,2019-12-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,0.0,Negro Metalizado,C,5
491,NISSAN Qashqai 1.5 DCI ACENTA 110 5P,NISSAN,Qashqai,Acenta,4x2,14990.0,2015-03-01,Diesel,56504.0,Berlina mediana o grande,Manual,110.0,12.0,BLANCO,C,62
492,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,32000.0,2018-12-01,Eléctrico,20.0,Berlina,Automático,150.0,24.0,-,0 EMISIONES,17
493,NISSAN Micra 1.5dCi S&S Tekna 90,NISSAN,Micra,Tekna,4x2,11995.0,2017-03-01,Diesel,39000.0,Berlina,Manual,90.0,12.0,-,C,38
494,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-09-01,Gasolina,20700.0,Berlina mediana o grande,Manual,140.0,0.0,Azul Vivid Metalizado,C,8
495,NISSAN X-Trail 1.6 dCi 360 4x4-i,NISSAN,X-Trail,,4x4,19800.0,2015-05-01,Diesel,56116.0,Todo Terreno,Manual,130.0,12.0,Verde,C,60
496,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,11800.0,2018-03-01,Gasolina,28783.0,Berlina,Manual,115.0,12.0,Blanco Iceberg S?lido,C,26
497,NISSAN Pulsar 1.2 DIG-T Acenta,NISSAN,Pulsar,Acenta,4x2,11800.0,2018-03-01,Gasolina,28783.0,Berlina,Manual,115.0,12.0,Blanco Iceberg S?lido,C,26
498,NISSAN Qashqai 1.7 DCI N-CONNECTA 110KW 4WD AUTO 5P,NISSAN,Qashqai,N-Connecta,4x2,27900.0,2019-08-01,Diesel,1.0,Berlina mediana o grande,Automático,150.0,12.0,Gris Metalizado,C,9
499,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,16499.0,2016-12-01,Diesel,71419.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,41
