,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
582,NISSAN Qashqai  DIG-T 103 KW (140 CV) E6D 6M/T 4X2,NISSAN,Qashqai,,4x2,20900.0,2019-05-01,Gasolina,0.0,,Manual,140.0,0.0,-,C,12
583,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,12750.0,2017-08-01,Gasolina,19803.0,Todo Terreno,Manual,115.0,Sí,Blanco Perlado                 / Metalizado,C,33
584,NISSAN X-Trail 1.6 dCi Acenta 4x4-i,NISSAN,X-Trail,Acenta,4x4,18300.0,2016-04-01,Diesel,68590.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,49
585,NISSAN Juke 1.2 DIG-T N-Connecta 4x2 115,NISSAN,Juke,N-Connecta,4x2,11900.0,2016-06-01,Gasolina,39600.0,Todo Terreno,Manual,115.0,12.0,Rojo Sólido,C,47
586,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,8400.0,2010-02-01,Diesel,123000.0,Todo Terreno,Manual,106.0,12.0,Negro,B,123
587,NISSAN Qashqai 1.6dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2018-07-01,Diesel,44042.0,Todo Terreno,Manual,130.0,12.0,Negro,C,22
588,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14454.0,2016-04-01,Gasolina,80833.0,Todo Terreno,Manual,115.0,12.0,Gris                 / Metalizado,C,49
589,NISSAN Micra 1.0 IG-T ACENTA 100 5P,NISSAN,Micra,Acenta,4x2,11250.0,2019-01-01,Gasolina,20257.0,Berlina mediana o grande,Manual,100.0,12.0,-,C,16
590,NISSAN X-Trail 5P DCI 110 KW (150 CV) E6D TEKNA,NISSAN,X-Trail,Tekna,4x2,26900.0,2019-07-01,Diesel,7239.0,Familiar,Manual,150.0,Sí,Gris metalizado                 / Metalizado,C,10
591,NISSAN Juke 1.6 N-Connecta 4x2 112,NISSAN,Juke,N-Connecta,4x2,14300.0,2019-04-01,Gasolina,7000.0,Todo Terreno,Manual,112.0,12.0,Negro Metalizado,C,13
592,NISSAN Qashqai 1.6dCi Acenta 4x4-i,NISSAN,Qashqai,Acenta,4x4,14700.0,2016-11-01,Diesel,63688.0,Todo Terreno,Manual,130.0,12.0,Blanco,C,42
593,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,19300.0,2018-05-01,Diesel,54415.0,Todo Terreno,Manual,110.0,12.0,Negro,C,24
594,NISSAN Micra 1.5dCi S&S N-Connecta 90,NISSAN,Micra,N-Connecta,4x2,11190.0,2017-05-01,Diesel,23700.0,Berlina,Manual,90.0,12.0,Enigma Black (metalizado),C,36
595,NISSAN Micra 1.2 Acenta,NISSAN,Micra,Acenta,4x2,7700.0,2017-03-01,Gasolina,49712.0,Berlina,Manual,80.0,12.0,BLANCO,C,38
596,NISSAN Juke 1.6 DIG-T Tekna 4x2 190,NISSAN,Juke,Tekna,4x2,13500.0,2016-02-01,Gasolina,83000.0,Todo Terreno,Manual,190.0,12.0,Blanco,C,51
597,NISSAN Qashqai 1.6 DCI TEKNA+ AUTO 5P,NISSAN,Qashqai,Tekna,4x2,23500.0,2018-06-01,Diesel,13815.0,Berlina mediana o grande,Automático,130.0,12.0,NEGRO ZAINO,C,23
598,NISSAN Qashqai 1.3DIG-T 140CV 2WD MT EURO6D ACENTA BARRAS+LLANTAS 18,NISSAN,Qashqai,Acenta,4x2,19900.0,2019-09-01,Gasolina,1.0,Berlina mediana o grande,Manual,140.0,12.0,Negro Metalizado,C,8
599,NISSAN Qashqai 1.6dCi Tekna+ 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,20799.0,2018-01-01,Diesel,26707.0,Todo Terreno,Automático,130.0,12.0,Gris,C,28
600,NISSAN Micra 1.5dCi S&S Visia+ 90,NISSAN,Micra,Visia,4x2,13200.0,2019-10-01,Diesel,16.0,Berlina,Manual,90.0,36.0,AZUL                 / Metalizado,C,7
601,NISSAN Leaf Acenta,NISSAN,Leaf,Acenta,4x2,10900.0,2013-10-01,Eléctrico,49896.0,Berlina,Automático,109.0,12.0,-,0 EMISIONES,79
602,NISSAN Micra IG-T Acenta 100,NISSAN,Micra,Acenta,4x2,12600.0,2019-07-01,Gasolina,20.0,Berlina,Manual,100.0,36.0,-,C,10
603,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,17900.0,2018-06-01,Gasolina,36400.0,Todo Terreno,Manual,115.0,36.0,-,C,23
604,NISSAN Qashqai 1.6dCi Tekna+ 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,29000.0,2019-06-01,Diesel,1250.0,Todo Terreno,Automático,130.0,36.0,-,C,11
605,NISSAN Qashqai 1.6dCi Tekna 4x2 XTronic,NISSAN,Qashqai,Tekna,4x2,19990.0,2017-05-01,Diesel,17500.0,Todo Terreno,Automático,130.0,12.0,Negro Amatista Metalizado,C,36
606,NISSAN Micra 1.5dCi S&S N-Connecta 90,NISSAN,Micra,N-Connecta,4x2,11490.0,2017-06-01,Diesel,17910.0,Berlina,Manual,90.0,12.0,Enigma Black (metalizado),C,35
607,NISSAN Pulsar 1.2 DIG-T N-Connecta,NISSAN,Pulsar,N-Connecta,4x2,11990.0,2017-03-01,Gasolina,50000.0,Berlina,Manual,115.0,12.0,GRIS PRECISIoN,C,38
608,NISSAN Qashqai 1.2 DIG-T N-CONNECTA 115 5P,NISSAN,Qashqai,N-Connecta,4x2,16900.0,2018-06-01,Gasolina,18983.0,Berlina mediana o grande,Manual,115.0,0.0,GRIS,C,23
609,NISSAN Qashqai 1.3 DIG-T N-CONNECTA 103KW 140 5P,NISSAN,Qashqai,N-Connecta,4x2,20900.0,2019-06-01,Gasolina,4500.0,Berlina mediana o grande,Manual,140.0,0.0,Negro Metalizado,C,11
610,NISSAN Qashqai 1.5 DCI N-MOTION 115 5P,NISSAN,Qashqai,,4x2,21900.0,2019-10-01,Diesel,8500.0,Berlina mediana o grande,Manual,115.0,0.0,Blanco Perlado Metalizado,C,7
611,NISSAN X-Trail 1.6 dCi 360 4x2,NISSAN,X-Trail,,4x2,15690.0,2016-01-01,Diesel,107548.0,Todo Terreno,Manual,130.0,12.0,-,C,52
612,NISSAN Juke 1.2 DIG-T Acenta 4x2 115,NISSAN,Juke,Acenta,4x2,10975.0,2018-01-01,Gasolina,80653.0,Todo Terreno,Manual,115.0,12.0,Negro,C,28
613,NISSAN Juke 1.6i Acenta CVT,NISSAN,Juke,Acenta,4x2,9500.0,2012-07-01,Gasolina,72410.0,Todo Terreno,Automático,117.0,12.0,BLANCO SOLIDO,C,94
614,NISSAN Qashqai 1.3DIG-T 140CV 2WD MT EURO6D TEKNA TECHO,NISSAN,Qashqai,Tekna,4x2,22500.0,2019-02-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,12.0,Negro Metalizado,C,15
615,NISSAN Qashqai 1.3DIG-T 140CV 2WD MT EURO6D TEKNA TECHO,NISSAN,Qashqai,Tekna,4x2,22500.0,2019-02-01,Gasolina,10.0,Berlina mediana o grande,Manual,140.0,12.0,Gris Metalizado,C,15
616,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,13900.0,2017-02-01,Diesel,37061.0,Todo Terreno,Manual,110.0,12.0,Granate                 / Metalizado,C,39
617,NISSAN Pathfinder 2.5dCi LE,NISSAN,,,4x2,6999.0,2007-01-01,Diesel,350000.0,Todo Terreno,Manual,171.0,12.0,Blanco,B,160
618,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,21900.0,2020-01-01,Diesel,0.0,Todo Terreno,Manual,115.0,Sí,-,C,4
619,NISSAN Qashqai 1.5 DCI 85KW DCT N-CONNECTA 115 5P,NISSAN,Qashqai,N-Connecta,4x2,22500.0,2019-05-01,Diesel,14585.0,Berlina mediana o grande,Automático,115.0,0.0,-,C,12
620,NISSAN Pulsar 1.5 dCi Visia,NISSAN,Pulsar,Visia,4x2,9900.0,2016-03-01,Diesel,92400.0,Berlina,Manual,110.0,12.0,-,C,50
621,NISSAN Qashqai 1.5dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,18300.0,2019-01-01,Diesel,38500.0,Todo Terreno,Manual,110.0,Sí,Azul Ultramar                 / Metalizado,C,16
622,NISSAN Qashqai dCi 81 kW (110 CV) ACENTA,NISSAN,Qashqai,Acenta,4x2,16100.0,2018-02-01,Diesel,26000.0,"4x4, SUV o pickup",Manual,110.0,12.0,-,C,27
623,NISSAN Qashqai 1.5dCi N-Connecta 4x2 85kW,NISSAN,Qashqai,N-Connecta,4x2,21200.0,2019-11-01,Diesel,0.0,Todo Terreno,Manual,115.0,Sí,-,C,6
624,NISSAN Juke 1.6 Tekna 4x2 XTronic CVT 112,NISSAN,Juke,Tekna,4x2,16400.0,2018-10-01,Gasolina,6290.0,Todo Terreno,Automático,112.0,12.0,-,C,19
